fips,geographic_area_name,rae_report_links,total_households,avg_household_size,owner_occupied_units,median_monthly_housing_cost,median_household_income,month_date_yyyymm,county_name,cbsa_code,cbsa_title,hh_rank,hotness_rank,hotness_rank_mm,hotness_rank_yy,hotness_score,supply_score,demand_score,median_days_on_market_x,median_days_on_market_mm,median_dom_mm_day,median_days_on_market_yy,median_dom_yy_day,median_dom_vs_us,page_view_count_per_property_mm,page_view_count_per_property_yy,page_view_count_per_property_vs_us,median_listing_price,median_listing_price_mm,median_listing_price_yy,median_listing_price_vs_us,quality_flag,home_value,median_sale_price,median_days_on_market_y,homes_sold,active_listings,average_sale_to_list_ratio,period_end,absorption_rate
01009,"Blount County, Alabama",https://cbb.census.gov/rae/#industry0=00&geoId=01009&geoType=county&view=report&reportType=detailed,22180.0,2.66,22180.0,64190,1997.0,2026-03-01,"blount, al",13820.0,"Birmingham, AL",921.0,529.0,529.0,-292.0,60.58168316831683,52.47524752475248,68.6881188118812,58.0,-0.414141414141,-41.0,-0.079365079365,-5.0,1.0,-0.005508950508,-0.056189248303,1.631718023676,293750.0,-0.018297267942184,0.1086997546706924,0.7070646287158503,0.0,,256842.5,85.75,9.166,187.0,0.9580435418,2026-04-19,4.901604278074866
01015,"Calhoun County, Alabama",https://cbb.census.gov/rae/#industry0=00&geoId=01015&geoType=county&view=report&reportType=detailed,45015.0,2.48,45015.0,55029,5088.0,2026-03-01,"calhoun, al",11500.0,"Anniston-Oxford, AL",539.0,1090.0,1090.0,237.0,37.09777227722772,35.086633663366335,39.10891089108911,66.0,-0.05035971223,-3.5,0.2,11.0,9.0,-0.038157259408,-0.201237057307,1.059754494186,209950.0,-0.041105275176981,-0.0867768595041322,0.5053556384643157,0.0,,204425.0,82.0,17.75,348.0,0.9514878398,2026-04-19,5.100574712643678
01017,"Chambers County, Alabama",https://cbb.census.gov/rae/#industry0=00&geoId=01017&geoType=county&view=report&reportType=detailed,13434.0,2.5,13434.0,49656,1681.0,2026-03-01,"chambers, al",29300.0,"LaGrange, GA-AL",1336.0,1510.0,1510.0,-8.0,16.429455445544555,22.71039603960396,10.14851485148515,75.25,-0.04746835443,-3.75,-0.059375,-4.75,18.25,-0.104297148845,-0.285393762063,0.649528054448,242400.0,-0.0103092783505154,-0.0836023802142797,0.5834637140450114,0.0,,304950.0,63.0,4.0,103.0,0.9954486802,2026-04-19,3.8834951456310676
01021,"Chilton County, Alabama",https://cbb.census.gov/rae/#industry0=00&geoId=01021&geoType=county&view=report&reportType=detailed,17875.0,2.55,17875.0,65603,1568.0,2026-03-01,"chilton, al",13820.0,"Birmingham, AL",1055.0,1067.0,1067.0,-414.0,37.93316831683168,49.195544554455445,26.67079207920792,59.0,-0.157142857143,-11.0,-0.39175257732,-38.0,2.0,-0.10643639678,-0.231339600029,0.901103079783,259900.0,-0.0549090909090909,-0.0001923446816695,0.6255867132025514,0.0,,349950.0,52.5,12.0,165.0,0.9900678941,2026-04-19,7.2727272727272725
01031,"Coffee County, Alabama",https://cbb.census.gov/rae/#industry0=00&geoId=01031&geoType=county&view=report&reportType=detailed,20984.0,2.58,20984.0,68353,2039.0,2026-03-01,"coffee, al",21460.0,"Enterprise, AL",927.0,1169.0,1169.0,18.0,34.12747524752476,50.61881188118812,17.636138613861384,58.5,-0.0859375,-5.5,-0.071428571429,-4.5,1.5,-0.112309759381,-0.377875825651,0.765017246656,296135.0,0.0119430016402406,-0.0125541847282427,0.7128053917438921,0.0,,290498.75,55.625,17.0,341.0,0.9835176895,2026-04-19,4.9853372434017595
01033,"Colbert County, Alabama",https://cbb.census.gov/rae/#industry0=00&geoId=01033&geoType=county&view=report&reportType=detailed,24301.0,2.37,24301.0,60628,2812.0,2026-03-01,"colbert, al",22520.0,"Florence-Muscle Shoals, AL",847.0,1454.0,1454.0,-110.0,20.26608910891089,25.804455445544555,14.727722772277229,73.0,-0.107033639144,-8.75,-0.170454545455,-15.0,16.0,0.030208644544,-0.168480145065,0.719038754663,271997.5,-0.0283895050813552,-0.028233297606288,0.654705740763028,0.0,,227950.0,62.875,10.75,269.0,0.9717192103,2026-04-19,3.9962825278810405
01039,"Covington County, Alabama",https://cbb.census.gov/rae/#industry0=00&geoId=01039&geoType=county&view=report&reportType=detailed,14642.0,2.53,14642.0,52456,1741.0,2026-03-01,"covington, al",,,1217.0,1187.0,1187.0,-129.0,33.35396039603961,26.48514851485149,40.222772277227726,72.5,-0.236842105263,-22.5,0.0,0.0,15.5,-0.020982990686,-0.119717746689,1.076735337452,249975.0,-0.0346573366621677,0.0001000200040008,0.6016969551089181,0.0,,210125.0,80.75,8.0,183.0,0.943697132,2026-04-19,4.371584699453552
01045,"Dale County, Alabama",https://cbb.census.gov/rae/#industry0=00&geoId=01045&geoType=county&view=report&reportType=detailed,19727.0,2.47,19727.0,54963,2235.0,2026-03-01,"dale, al",37120.0,"Ozark, AL",974.0,798.0,798.0,151.0,48.82425742574257,64.29455445544554,33.353960396039604,52.75,-0.312703583062,-24.0,0.098958333333,4.75,-4.25,-0.004013109791,-0.26134438644,0.982909013658,234900.0,-0.0148878171524428,-0.0171548117154811,0.5654110001203514,0.0,,204125.0,51.875,4.5,170.0,0.9391852176,2026-04-19,2.6470588235294117
01049,"DeKalb County, Alabama",https://cbb.census.gov/rae/#industry0=00&geoId=01049&geoType=county&view=report&reportType=detailed,26181.0,2.73,26181.0,51204,2616.0,2026-03-01,"dekalb, al",22840.0,"Fort Payne, AL",783.0,1424.0,1424.0,345.0,22.308168316831683,10.272277227722771,34.3440594059406,92.5,0.434108527132,28.0,0.516393442623,31.5,35.5,-0.118534811186,-0.2153535116,0.997949372613,299125.0,0.0344976655715025,0.0721326164874551,0.7200024070285233,0.0,,237862.5,82.25,9.5,250.0,0.9603994828,2026-04-19,3.8
01055,"Etowah County, Alabama",https://cbb.census.gov/rae/#industry0=00&geoId=01055&geoType=county&view=report&reportType=detailed,39411.0,2.58,39411.0,54563,4540.0,2026-03-01,"etowah, al",23460.0,"Gadsden, AL",595.0,1448.0,1448.0,298.0,20.544554455445542,10.272277227722771,30.816831683168317,92.5,0.434108527132,28.0,0.541666666667,32.5,35.5,-0.11639937326,-0.150746200778,0.95415597797,274900.0,-0.0146953405017921,0.0613899613899613,0.6616921410518715,0.0,,204337.5,85.75,15.25,365.0,0.9570254506,2026-04-19,4.178082191780822
